metric,pair,action,direction,seed,image,scalar,delta
q_mae,P3,targeted,net2rect,4,18.788927540495763,66.51748189532677,-1.264197063038897
q_mae,P3,targeted,net2rect,5,19.346185072047483,42.04963969336014,-0.7763555717143054
td_residual,P1,full,net2rect,1,1.632303053736687,26.429270549774174,-1.3922400974567208
td_residual,P1,full,net2rect,2,1.4053479591608047,31.08516306877137,-1.5482228518586438
td_residual,P1,full,net2rect,3,1.4704656527042388,22.544633308410646,-1.3649589628450005
q_mae,P1,full,net2rect,1,62.36729423415445,64.79441136485676,-0.0381783481615976
q_mae,P1,full,net2rect,2,57.75284634811677,65.92588628409744,-0.13235854037239125
q_mae,P1,full,net2rect,3,62.71219513790045,66.52471248738618,-0.0590175664479613
td_residual,P2,full,net2rect,1,1.596148422718048,21.828440259933473,-1.307810113615196
td_residual,P2,full,net2rect,2,2.1112997231483464,22.65010187244415,-1.1864303046076075
td_residual,P2,full,net2rect,3,1.6210323373079292,59.3077864627838,-1.799838706064303
td_residual,P2,full,net2rect,4,1.8414337582588196,31.673031141281125,-1.4224605407562314
q_mae,P2,full,net2rect,1,68.30345900346026,64.47515045897953,0.05768052419518099
q_mae,P2,full,net2rect,2,63.38292161073836,65.55351231675198,-0.033672341098055725
q_mae,P2,full,net2rect,3,65.3287149499685,64.65095985477721,0.010428726473191041
q_mae,P2,full,net2rect,4,64.56622384826997,71.9214704521072,-0.10788341220917363
td_residual,P3,full,net2rect,1,1.5790779020786283,30.360846223831174,-1.4781563773645534
td_residual,P3,full,net2rect,2,1.5336958111524583,35.022001567840576,-1.5641480473750622
td_residual,P3,full,net2rect,3,1.4463890241384507,33.62599293899537,-1.573114622521564
td_residual,P3,full,net2rect,4,1.629057517528534,32.72952971649169,-1.5001380411739136
q_mae,P3,full,net2rect,1,62.52168213525491,79.17297353131796,-0.23612158654657023
q_mae,P3,full,net2rect,2,59.28894321511933,78.52991359622648,-0.28105678355988317
q_mae,P3,full,net2rect,3,60.07810157917307,71.86237483536205,-0.17910742048344996
q_mae,P3,full,net2rect,4,57.70825065539323,77.68978954696186,-0.29732368449057756
