metric,pair,content,direction,seed,image,scalar,delta
td_residual,P3,cells + substrates + M1/M2,rect2net,2,1.2840037568211555,1010.1299994812013,-3.3339255913867714
td_residual,P3,cells + substrates + M1/M2,rect2net,4,1.19464236497879,1978.6785326538088,-3.706168814349617
td_residual,P3,cells + substrates + M1/M2,rect2net,5,0.9263048562407492,47.33350371170043,-1.9668851242917738
q_mae,P3,cells + substrates + M1/M2,rect2net,1,13.557755535208889,31.298528890912557,-0.8366123483413834
q_mae,P3,cells + substrates + M1/M2,rect2net,2,16.93687354170678,47.3815124864907,-1.0287390091998105
q_mae,P3,cells + substrates + M1/M2,rect2net,4,22.338703162930557,86.91282097702222,-1.3585848165707275
q_mae,P3,cells + substrates + M1/M2,rect2net,5,11.347862391571285,15.570631922872854,-0.3163571803029779
test_return,P1,cells + substrates,net2rect,1,35.12853056819408,49.842230806846956,-14.713700238652876
test_return,P1,cells + substrates,net2rect,2,16.917963730908802,58.176713717440975,-41.25874998653217
test_return,P1,cells + substrates,net2rect,3,39.972835092013916,21.04861488126692,18.924220210746995
test_return,P1,cells + substrates,net2rect,4,53.613911874170434,25.615838539144335,27.9980733350261
test_return,P1,cells + substrates,net2rect,5,43.0490945194123,36.1551812585193,6.893913260893001
train_return,P1,cells + substrates,net2rect,1,65.08234739633238,46.792261627615126,18.290085768717255
train_return,P1,cells + substrates,net2rect,2,57.452432325378226,66.36368990435216,-8.911257578973931
train_return,P1,cells + substrates,net2rect,3,65.5976061891544,14.821079671778623,50.776526517375785
train_return,P1,cells + substrates,net2rect,4,62.36070569286262,32.30761471283915,30.053090980023477
train_return,P1,cells + substrates,net2rect,5,59.19808924251818,34.70994404485741,24.48814519766077
gap,P1,cells + substrates,net2rect,1,29.9538168281383,-3.04996917923183,33.00378600737013
gap,P1,cells + substrates,net2rect,2,40.53446859446942,8.186976186911181,32.34749240755824
gap,P1,cells + substrates,net2rect,3,25.62477109714049,-6.227535209488298,31.852306306628787
gap,P1,cells + substrates,net2rect,4,8.74679381869219,6.691776173694812,2.0550176449973776
gap,P1,cells + substrates,net2rect,5,16.14899472310588,-1.4452372136618905,17.59423193676777
td_residual,P1,cells + substrates,net2rect,1,2.7334372363090518,52.70257842254639,-1.479552251305539
td_residual,P1,cells + substrates,net2rect,2,1.3025398195385935,26.333524126052858,-1.5032633716325041
td_residual,P1,cells + substrates,net2rect,3,3.041669299244881,636.5784108581543,-2.671850562384846
td_residual,P1,cells + substrates,net2rect,4,5.598629876971246,82.19637693214415,-1.3432946609301206
td_residual,P1,cells + substrates,net2rect,5,1.5775974581241607,61.30293791389465,-1.8299623374877978
q_mae,P1,cells + substrates,net2rect,1,16.967880695054642,21.010228488317342,-0.21368720395061214
q_mae,P1,cells + substrates,net2rect,2,15.511027361105985,26.068490755960568,-0.5191761206631247
q_mae,P1,cells + substrates,net2rect,3,16.191884899273198,79.97402546952465,-1.597191715736161
q_mae,P1,cells + substrates,net2rect,4,18.249018939982506,40.27451000453097,-0.7916074408749596
q_mae,P1,cells + substrates,net2rect,5,15.254413421459304,26.824056174764195,-0.5644302374898058
test_return,P2,cells + M1/M2,net2rect,1,27.05265285473136,33.69789508183325,-6.6452422271018925
test_return,P2,cells + M1/M2,net2rect,2,5.219514664595631,24.05461421101625,-18.83509954642062
test_return,P2,cells + M1/M2,net2rect,3,27.020091143519817,51.38390947215915,-24.36381832863933
test_return,P2,cells + M1/M2,net2rect,4,2.082051535927759,34.90032300153606,-32.8182714656083
test_return,P2,cells + M1/M2,net2rect,5,28.63744290556665,25.98783704698031,2.649605858586341
train_return,P2,cells + M1/M2,net2rect,1,31.847507382677755,54.99931757640314,-23.15181019372539
train_return,P2,cells + M1/M2,net2rect,2,42.49907560317346,64.66942902520842,-22.170353422034957
train_return,P2,cells + M1/M2,net2rect,3,44.41944096738596,63.14266030866791,-18.723219341281947
train_return,P2,cells + M1/M2,net2rect,4,39.97549031549201,46.6864257278973,-6.710935412405291
train_return,P2,cells + M1/M2,net2rect,5,43.56290209319154,63.351744079169464,-19.788841985977925
gap,P2,cells + M1/M2,net2rect,1,4.794854527946395,21.30142249456989,-16.506567966623496
gap,P2,cells + M1/M2,net2rect,2,37.27956093857783,40.614814814192165,-3.3352538756143346
gap,P2,cells + M1/M2,net2rect,3,17.399349823866142,11.75875083650876,5.640598987357382
gap,P2,cells + M1/M2,net2rect,4,37.89343877956425,11.786102726361243,26.107336053203007
gap,P2,cells + M1/M2,net2rect,5,14.925459187624888,37.363907032189154,-22.438447844564266
td_residual,P2,cells + M1/M2,net2rect,1,5.567368883609772,31.839787324905398,-0.871897055952342
td_residual,P2,cells + M1/M2,net2rect,2,2.8928814597129824,52.54384434509278,-1.449697450582167
td_residual,P2,cells + M1/M2,net2rect,3,7.232365460634232,22.23160503387451,-0.5614743854919567
td_residual,P2,cells + M1/M2,net2rect,4,3.3791584217548376,27.664129940032957,-1.051254967582236
td_residual,P2,cells + M1/M2,net2rect,5,2.8690319410562517,35.1844257774353,-1.253314432542705
q_mae,P2,cells + M1/M2,net2rect,1,22.622433940616716,18.162460358509115,0.21958521987147295
q_mae,P2,cells + M1/M2,net2rect,2,15.332809119847443,22.787644876177914,-0.3962235782879526
q_mae,P2,cells + M1/M2,net2rect,3,20.59998929925004,23.667905413178666,-0.13882937206383872
q_mae,P2,cells + M1/M2,net2rect,4,13.815578071499285,24.094781984509172,-0.5561985006315338
q_mae,P2,cells + M1/M2,net2rect,5,13.661972064278748,26.026397242445928,-0.6444950899982169
test_return,P3,cells + substrates + M1/M2,net2rect,1,30.079912928506918,29.05792437339745,1.0219885551094663
test_return,P3,cells + substrates + M1/M2,net2rect,2,16.798876745527757,10.439447543827958,6.359429201699799
test_return,P3,cells + substrates + M1/M2,net2rect,3,37.120368548552406,57.48601272598658,-20.365644177434177
test_return,P3,cells + substrates + M1/M2,net2rect,4,11.597908460739063,-13.703062303942474,25.300970764681537
test_return,P3,cells + substrates + M1/M2,net2rect,5,24.18705509095303,51.49234762743184,-27.30529253647881
train_return,P3,cells + substrates + M1/M2,net2rect,1,54.68750725151922,34.60104822985048,20.086459021668745
train_return,P3,cells + substrates + M1/M2,net2rect,2,43.71796825412765,60.48503765505577,-16.767069400928122
train_return,P3,cells + substrates + M1/M2,net2rect,3,61.2138383809498,49.47787510825734,11.735963272692466
train_return,P3,cells + substrates + M1/M2,net2rect,4,50.66218838358765,35.60580349674974,15.056384886837904
train_return,P3,cells + substrates + M1/M2,net2rect,5,53.935337800237654,39.0847945357226,14.850543264515053
gap,P3,cells + substrates + M1/M2,net2rect,1,24.607594323012304,5.543123856453025,19.06447046655928
gap,P3,cells + substrates + M1/M2,net2rect,2,26.91909150859989,50.04559011122781,-23.12649860262792
gap,P3,cells + substrates + M1/M2,net2rect,3,24.093469832397396,-8.008137617729247,32.10160745012664
gap,P3,cells + substrates + M1/M2,net2rect,4,39.064279922848584,49.30886580069222,-10.244585877843633
gap,P3,cells + substrates + M1/M2,net2rect,5,29.748282709284624,-12.40755309170924,42.15583580099386
td_residual,P3,cells + substrates + M1/M2,net2rect,1,2.1405124261379247,147.26460762405392,-2.1155928843275427
td_residual,P3,cells + substrates + M1/M2,net2rect,2,3.064371806144714,18.37446365261078,-0.8955596322649605
td_residual,P3,cells + substrates + M1/M2,net2rect,3,2.401881578087807,21.328440320968625,-1.091894493683221
td_residual,P3,cells + substrates + M1/M2,net2rect,4,5.178903369307518,231.72116986083984,-1.9004707328602737
td_residual,P3,cells + substrates + M1/M2,net2rect,5,3.8361478580236428,146.70245600891113,-1.8219688627981347
q_mae,P3,cells + substrates + M1/M2,net2rect,1,14.717676048237621,34.049674725473935,-0.8387712560213254
q_mae,P3,cells + substrates + M1/M2,net2rect,2,13.941913261475582,17.590145960620696,-0.2324392109851927
q_mae,P3,cells + substrates + M1/M2,net2rect,3,20.650687102458136,18.976582951331817,0.08454284978299142
q_mae,P3,cells + substrates + M1/M2,net2rect,4,18.788927540495763,66.51748189532677,-1.264197063038897
q_mae,P3,cells + substrates + M1/M2,net2rect,5,19.346185072047483,42.04963969336014,-0.7763555717143054
